State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
,RIALTO,2016,"103,893",254,2,9,84,159,946,301,290,355,1
,,2017,,188,2,9,75,102,842,229,314,299,2
,RICHMOND,2016,"110,868",477,10,40,170,257,"1,819",353,829,637,18
,,2017,,516,7,25,218,266,"2,134",402,"1,105",627,23
,RIVERSIDE,2016,"325,896",833,4,70,289,470,"5,443",934,"3,589",920,27
,,2017,,792,6,78,253,455,"5,269",926,"3,431",912,38
,ROSEVILLE,2016,"132,566",97,0,11,50,36,"1,625",205,"1,257",163,6
,,2017,,109,0,11,40,58,"1,706",180,"1,369",157,8
,SACRAMENTO,2016,"495,471","1,733",13,42,536,"1,142","7,875","1,621","4,740","1,514",87
,,2017,,"1,678",21,53,541,"1,063","7,312","1,495","4,519","1,298",98
,SALINAS,2016,"158,729",431,15,42,120,254,"2,738",340,"1,521",877,4
,,2017,,508,18,39,172,279,"2,347",439,"1,187",721,9
,SAN BERNARDINO,2016,"217,303","1,412",32,51,448,881,"4,500","1,188","2,032","1,280",23
,,2017,,"1,437",21,80,398,938,"3,972","1,044","1,816","1,112",31
,SAN DIEGO,2016,"1,413,414","2,645",24,297,723,"1,601","14,865","2,493","9,412","2,960",138
,,2017,,"2,515",17,265,694,"1,539","13,173","2,032","8,552","2,589",81
,SAN FRANCISCO,2016,"871,155","2,987",25,163,"1,497","1,302","22,833","2,435","17,815","2,583",130
,,2017,,"3,069",34,187,"1,599","1,249","27,654","2,568","22,449","2,637",151
,SAN JOSE,2016,"1,041,844","1,919",25,220,583,"1,091","11,463","2,052","6,152","3,259",55
,,2017,,"1,916",15,299,604,998,"12,528","1,973","6,463","4,092",84
,SAN MATEO,2016,"104,802",109,0,12,22,75,"1,019",389,533,97,0
,,2017,,122,0,9,26,87,"1,004",299,614,91,2
,SANTA ANA,2016,"337,419",868,13,77,267,511,"3,428",557,"1,923",948,21
,,2017,,787,10,85,304,388,"3,769",459,"2,176","1,134",30
,SANTA CLARA,2016,"128,179",88,2,11,32,43,"1,297",175,959,163,6
,,2017,,88,0,17,22,49,"1,538",161,"1,181",196,4
,SANTA CLARITA,2016,"219,611",156,2,25,51,78,"1,476",325,963,188,5
,,2017,,173,2,19,59,93,"1,637",343,"1,080",214,6
,SANTA MARIA,2016,"106,200",269,6,20,97,146,"1,371",233,815,323,3
,,2017,,224,0,25,72,127,"1,218",218,629,371,4
,SANTA ROSA,2016,"176,383",333,4,48,58,223,"1,714",298,"1,192",224,11
,,2017,,375,4,58,60,253,"1,567",253,"1,119",195,8
,SIMI VALLEY,2016,"127,252",88,0,17,22,49,778,170,561,47,2
,,2017,,81,0,9,16,56,917,161,678,78,2
,STOCKTON,2016,"308,348","2,156",23,57,578,"1,498","5,912","1,130","3,949",833,42
,,2017,,"2,120",19,69,578,"1,454","5,765","1,146","3,548","1,071",70
,SUNNYVALE,2016,"154,108",68,0,8,21,39,"1,012",266,629,117,9
,,2017,,81,1,14,27,39,"1,252",247,865,140,8
,TEMECULA,2016,"114,381",62,2,3,27,30,"1,238",165,912,161,1
,,2017,,56,0,2,18,36,"1,436",204,"1,083",149,0
,THOUSAND OAKS,2016,"129,853",83,0,16,17,50,761,109,605,47,4
,,2017,,75,0,24,11,40,837,137,626,74,6
,TORRANCE,2016,"149,078",116,0,12,58,46,"1,568",208,"1,173",187,3
,,2017,,145,0,17,56,72,"1,544",300,999,245,8
,VALLEJO,2016,"122,293",517,10,48,167,292,"2,419","1,120",691,608,36
,,2017,,540,9,46,187,298,"2,369","1,256",603,510,20
,VENTURA,2016,"110,228",183,4,28,46,105,"1,854",325,"1,382",147,3
,,2017,,231,1,31,56,143,"1,822",297,"1,332",193,10
,VICTORVILLE,2016,"123,438",315,4,21,95,195,"1,831",452,"1,123",256,10
,,2017,,412,8,29,126,249,"1,525",401,791,333,26
,VISALIA,2016,"131,186",265,2,30,53,180,"1,988",492,"1,156",340,1
,,2017,,258,6,49,79,124,"2,134",470,"1,347",317,4
,VISTA,2016,"102,307",183,1,17,50,115,831,170,544,117,4
,,2017,,189,4,22,54,109,746,159,460,127,7
,WEST COVINA,2016,"108,950",146,2,9,64,71,"1,442",270,921,251,5
,,2017,,150,0,20,75,55,"1,266",259,811,196,6
COLORADO,AURORA,2016,"366,477",929,7,143,287,492,"5,514",814,"3,951",749,29
,,2017,,993,8,116,342,527,"5,274",800,"3,534",940,30
,CENTENNIAL,2016,"111,479",66,1,22,8,35,605,100,455,50,4
,,2017,,84,3,12,9,60,908,152,673,83,6
,COLORADO SPRINGS,2016,"464,113","1,113",8,239,210,656,"7,816","1,194","5,722",900,59
,,2017,,"1,280",15,270,221,774,"7,085","1,132","4,985",968,58
,DENVER,2016,"699,259","2,164",19,272,575,"1,298","12,442","2,392","7,740","2,310",44
,,2017,,"2,374",26,296,541,"1,511","11,891","2,007","7,565","2,319",60
,FORT COLLINS,2016,"164,670",141,1,16,15,109,"1,731",191,"1,454",86,7
,,2017,,176,1,13,17,145,"2,119",239,"1,772",108,6
,GREELEY,2016,"102,491",232,1,45,22,164,"1,616",227,"1,231",158,12
,,2017,,191,1,27,23,140,"1,258",195,922,141,13
,LAKEWOOD,2016,"154,553",441,3,77,82,279,"4,167",503,"3,223",441,12
,,2017,,473,3,67,104,299,"3,730",434,"2,750",546,10
,PUEBLO,2016,"109,927",545,2,82,109,352,"3,484",887,"2,167",430,25
,,2017,,538,1,102,94,341,"3,243",607,"2,108",528,24
CONNECTICUT,BRIDGEPORT,2016,"148,180",472,2,28,188,254,"1,262",292,700,270,4
,,2017,,599,12,27,265,295,"1,657",287,"1,017",353,8
,HARTFORD,2016,"123,736",613,10,28,202,373,"2,390",363,"1,661",366,55
,,2017,,611,13,27,190,381,"2,296",341,"1,638",317,38
,STAMFORD,2016,"130,116",155,0,19,53,83,865,123,665,77,1
,,2017,,125,0,5,40,80,935,99,730,106,3
,WATERBURY,2016,"108,491",268,4,14,111,139,"2,057",358,"1,398",301,13
,,2017,,239,2,23,123,91,"1,864",278,"1,193",393,6
DISTRICT OF COLUMBIA,WASHINGTON,2016,"681,170","3,905",62,256,"1,551","2,036","14,563","1,115","12,121","1,327",75
,,2017,,"3,075",55,227,"1,102","1,691","14,370",928,"12,230","1,212",62
FLORIDA,CAPE CORAL,2016,"179,631",103,4,7,19,73,"1,508",307,"1,111",90,2
,,2017,,118,3,8,12,95,"1,488",290,"1,126",72,1
,CLEARWATER,2016,"113,904",336,1,40,69,226,"1,821",260,"1,463",98,6
,,2017,,293,2,42,71,178,"1,848",249,"1,476",123,11
,CORAL SPRINGS,2016,"131,159",110,0,11,37,62,"1,205",104,"1,018",83,4
,,2017,,125,0,27,35,63,"1,287",112,"1,064",111,2
,DAVIE,2016,"102,692",97,2,13,38,44,"1,431",160,"1,125",146,3
,,2017,,124,1,13,44,66,"1,347",145,"1,094",108,9
,FORT LAUDERDALE,2016,"181,218",584,12,46,225,301,"5,366",941,"3,983",442,9
,,2017,,523,4,37,214,268,"5,246",821,"3,978",447,8
,GAINESVILLE,2016,"131,242",420,3,57,83,277,"2,379",307,"1,930",142,3
,,2017,,472,2,81,94,295,"2,225",229,"1,854",142,3
,HIALEAH,2016,"239,451",336,5,18,82,231,"2,812",255,"2,255",302,17
,,2017,,232,2,15,77,138,"2,673",283,"2,042",348,16
,HOLLYWOOD,2016,"151,510",316,2,25,110,179,"2,372",358,"1,756",258,2
,,2017,,216,3,13,90,110,"2,391",393,"1,754",244,4
,JACKSONVILLE,2016,"880,557","2,758",52,251,703,"1,752","15,340","2,758","11,160","1,422",45
,,2017,,"2,696",52,257,670,"1,717","15,489","2,832","11,251","1,406",52
,LAKELAND,2016,"105,766",168,1,36,55,76,"2,585",321,"2,088",176,1
,,2017,,154,1,35,39,79,"1,917",268,"1,540",109,0
,MIAMI,2016,"449,469","1,953",27,44,671,"1,211","9,473","1,282","7,305",886,28
,,2017,,"1,665",26,41,510,"1,088","9,265","1,187","7,044","1,034",33
,MIAMI GARDENS,2016,"114,349",376,11,7,135,223,"1,820",297,"1,316",207,12
,,2017,,448,11,8,108,321,"1,727",214,"1,314",199,6
,MIRAMAR,2016,"140,288",233,2,12,63,156,"1,480",164,"1,183",133,4
,,2017,,225,2,14,51,158,"1,103",167,817,119,2
,ORLANDO5,2016,"277,719","1,194",65,85,240,804,"7,600","1,421","5,609",570,11
,,2017,,"1,000",13,85,279,623,"7,906","1,272","5,904",730,13
,PALM BAY,2016,"108,823",251,2,30,25,194,783,192,536,55,5
,,2017,,279,5,23,29,222,"1,024",221,723,80,5
,PEMBROKE PINES,2016,"169,156",187,1,9,51,126,"1,823",152,"1,548",123,1
,,2017,,179,0,15,46,118,"1,891",189,"1,529",173,4
,POMPANO BEACH,2016,"109,362",458,3,44,160,251,"2,586",413,"1,888",285,2
,,2017,,497,8,32,220,237,"2,712",388,"1,888",436,5
,PORT ST. LUCIE,2016,"182,365",139,2,8,27,102,"1,167",204,925,38,3
,,2017,,86,0,8,14,64,"1,089",178,867,44,1
,ST. PETERSBURG,2016,"259,510",854,11,59,258,526,"5,642",932,"4,272",438,22
,,2017,,955,12,62,243,638,"6,277",940,"4,814",523,59
,TALLAHASSEE,2016,"191,564",857,4,104,200,549,"5,346","1,036","3,777",533,3
,,2017,,891,6,103,203,579,"4,637",762,"3,507",368,5
,TAMPA,2016,"375,904",984,12,43,258,671,"4,031",761,"2,917",353,34
,,2017,,904,20,53,198,633,"3,123",590,"2,267",266,24
,WEST PALM BEACH,2016,"108,074",479,3,41,151,284,"2,671",439,"1,949",283,12
,,2017,,515,15,38,163,299,"2,895",451,"2,160",284,12
GEORGIA,ATHENS-CLARKE COUNTY,2016,"123,934",220,1,39,76,170,"2,093",425,"1,558",110,9
,,2017,,255,2,30,55,168,"1,834",335,"1,396",103,7
,ATLANTA,2016,"472,579",1988,56,121,"1,092","1,322","11,522","2,171","7,507","1,844",27
,,2017,,"2,165",37,130,669,"1,329","10,383","1,602","7,291","1,490",42
,COLUMBUS,2016,"202,338",702,9,42,248,281,"4,698","1,056","3,210",432,17
,,2017,,606,9,38,207,352,"4,103",999,"2,776",328,19
,SANDY SPRINGS,2016,"107,685",49,0,5,27,19,"1,295",233,983,79,4
,,2017,,53,0,8,26,19,"1,086",194,817,75,2
,SAVANNAH-CHATHAM METROPOLITAN,2016,"241,296",621,30,67,254,262,"3,950",789,"2,720",441,6
,,2017,,544,23,55,182,284,"4,179",626,"3,083",470,10
HAWAII,HONOLULU,2016,"995,572","1,165",9,181,378,597,"15,535","1,843","11,477","2,215",139
,,2017,,"1,207",15,156,443,593,"13,263","1,571","10,043","1,649",170
ILLINOIS,AURORA,2016,"201,159",314,2,28,56,228,"1,215",207,945,63,13
,,2017,,259,4,30,48,177,"1,195",185,923,87,10
,CHICAGO,2016,"2,725,153","13,810",323,819,"5,164","7,504","39,442","6,198","28,077","5,167",284
,,2017,,"14,007",328,808,"5,385","7,486","41,298","6,262","29,423","5,613",262
,ELGIN,2016,"112,886",119,0,16,34,69,679,85,563,31,10
,,2017,,117,0,16,25,76,720,101,581,38,2
,JOLIET,2016,"147,886",247,2,28,58,159,"1,384",282,"1,047",55,24
,,2017,,281,5,33,75,168,"1,227",230,933,64,43
,NAPERVILLE,2016,"148,070",38,0,4,14,20,725,71,636,18,2
,,2017,,65,1,14,15,35,732,60,652,20,6
,PEORIA,2016,"115,099",378,6,34,121,217,"1,992",468,"1,449",75,36
,,2017,,429,6,31,140,252,"2,171",518,"1,536",117,18
,ROCKFORD,2016,"147,363","1,250",11,72,264,903,"2,717",601,"1,893",223,30
,,2017,,"1,149",9,52,208,880,"2,397",640,"1,564",193,12
,SPRINGFIELD,2016,"116,563",600,3,53,95,449,"2,378",512,"1,769",97,15
,,2017,,643,5,42,116,480,"2,396",550,"1,696",150,20
INDIANA,EVANSVILLE,2016,"119,908",359,5,44,98,212,"2,898",468,"2,240",190,13
,,2017,,451,4,30,86,331,"2,899",425,"2,268",206,16
,FORT WAYNE,2016,"261,642",450,16,47,161,226,"3,976",768,"3,062",146,28
,,2017,,462,12,57,151,242,"4,191",611,"3,343",237,40
,SOUTH BEND,2016,"101,621",465,6,43,136,280,"2,201",485,"1,517",199,18
,,2017,,468,9,47,163,249,"2,492",629,"1,630",233,24
KANSAS,OLATHE,2016,"135,977",111,1,23,15,72,986,80,821,85,1
,,2017,,129,1,44,18,66,931,74,792,65,2
,OVERLAND PARK,2016,"189,104",188,1,69,20,98,"1,376",235,"1,000",141,8
,,2017,,199,3,50,32,114,"1,475",160,"1,185",130,2
,TOPEKA,2016,"127,166",304,8,27,100,169,"3,302",512,"2,439",351,1
,,2017,,371,15,25,112,219,"3,124",467,"2,280",377,5
KENTUCKY,LEXINGTON,2016,"317,853",511,12,89,276,134,"6,136","1,085","4,545",506,23
,,2017,,544,9,91,281,163,"5,884","1,113","4,150",621,22
,LOUISVILLE METRO7,2016,"683,825","2,261",54,89,746,"1,372","14,552","2,829","9,696","2,027",6
,,2017,,"2,170",73,73,655,"1,369","13,473","2,793","8,796","1,884",2
LOUISIANA,BATON ROUGE,2016,"228,389",979,15,53,348,563,"4,708","1,058","3,381",269,65
,,2017,,"1,205",33,47,448,677,"6,120","1,308","4,317",495,79
,LAFAYETTE,2016,"128,923",333,5,12,83,233,"3,156",533,"2,447",176,11
,,2017,,357,9,8,94,246,"3,116",523,"2,431",162,14
,NEW ORLEANS,2016,"397,208","2,041",67,299,685,990,"7,586","1,277","5,131","1,178",34
,,2017,,"2,229",96,263,681,"1,189","8,539","1,178","6,094","1,267",22
MARYLAND,BALTIMORE,2016,"618,385","5,176",137,150,"2,340","2,549","13,822","3,462","7,844","2,516",137
,,2017,,"6,095",170,176,"2,780","2,969","14,462","3,808","8,033","2,621",149
MASSACHUSETTS,CAMBRIDGE,2016,"111,030",159,2,12,38,107,"1,177",184,925,68,4
,,2017,,148,0,9,38,101,906,136,727,43,1
,LOWELL,2016,"111,027",223,0,8,55,160,986,187,668,131,8
,,2017,,136,1,3,64,68,"1,132",221,683,228,5
,SPRINGFIELD,2016,"154,102",774,5,43,248,478,"2,463",739,"1,431",293,16
,,2017,,621,8,40,167,406,"2,189",582,"1,401",206,25
,WORCESTER,2016,"184,595",787,3,37,179,568,"2,720",747,"1,710",263,3
,,2017,,677,2,17,143,515,"1,873",400,"1,274",199,2
MICHIGAN,ANN ARBOR,2016,"117,688",100,0,27,20,53,935,126,764,45,3
,,2017,,126,0,26,29,71,873,110,715,48,2
,CLINTON TOWNSHIP,2016,"100,514",145,2,28,17,98,797,142,595,60,4
,,2017,,176,2,26,20,128,741,143,521,77,5
,GRAND RAPIDS,2016,"196,538",649,4,76,140,429,"2,032",384,"1,527",121,28
,,2017,,661,7,62,158,434,"1,762",334,"1,275",153,28
,LANSING,2016,"115,199",687,5,63,109,510,"1,448",379,898,171,4
,,2017,,601,8,44,106,443,"1,543",388,990,165,17
,STERLING HEIGHTS,2016,"132,523",118,0,20,10,88,754,89,616,49,3
,,2017,,125,1,20,7,97,705,76,573,56,3
,WARREN,2016,"135,620",355,3,76,56,220,"1,659",427,"1,018",214,17
,,2017,,339,4,47,52,236,"1,389",306,857,226,13
MINNESOTA,MINNEAPOLIS,2016,"416,751","2,114",10,213,799,"1,092","7,607","1,381","5,347",879,38
,,2017,,"2,237",16,259,870,"1,092","9,169","1,707","6,330","1,132",50
,ROCHESTER,2016,"113,306",127,0,35,30,62,"1,190",174,972,44,0
,,2017,,80,0,18,11,51,944,149,759,36,1
,ST. PAUL,2016,"303,920","1,000",9,100,341,550,"4,360",900,"2,695",765,36
,,2017,,"1,020",14,112,352,542,"5,238","1,167","3,141",930,72
MISSISSIPPI,JACKSON,2016,"170,070","1,089",27,88,297,311,"3,875",922,"2,515",438,55
,,2017,,"1,125",29,95,306,278,"3,492",878,"2,269",345,30
MISSOURI,COLUMBIA,2016,"121,143",244,2,40,61,141,"1,546",275,"1,183",88,6
,,2017,,370,4,60,61,245,"1,617",238,"1,262",117,6
,INDEPENDENCE,2016,"117,335",304,2,29,61,212,"2,989",444,"2,172",373,7
,,2017,,345,3,17,80,245,"3,124",342,"2,212",570,0
,KANSAS CITY,2016,"478,364","3,740",51,199,871,"2,619","9,400","2,109","5,595","1,696",89
,,2017,,"4,111",66,195,890,"2,960","10,101","2,164","5,963","1,974",107
,SPRINGFIELD,2016,"168,307","1,144",5,153,213,773,"6,283","1,060","4,639",584,31
,,2017,,"1,096",6,179,178,733,"7,522","1,152","5,386",984,47
,ST. LOUIS,2016,"314,507","2,784",88,141,811,"1,744","8,522","1,605","5,587","1,330",135
,,2017,,"2,878",92,126,770,"1,890","8,689","1,443","6,031","1,215",91
MONTANA,BILLINGS,2016,"111,447",275,0,36,49,190,"2,563",324,"1,923",316,10
,,2017,,277,0,40,39,198,"2,824",338,"2,092",394,9
NEBRASKA,LINCOLN,2016,"281,138",473,8,101,90,274,"4,104",597,"3,324",183,29
,,2017,,486,0,111,91,284,"3,724",537,"3,049",138,22
,OMAHA,2016,"446,163",1102,12,210,248,792,"8,093",922,"5,747","1,424",32
,,2017,,"1,403",15,196,260,932,"8,348","1,015","5,796","1,537",55
NEVADA,LAS VEGAS,2016,"1,592,178","7,174",83,632,"2,537","3,922","22,234","6,115","11,881","4,238",49
,,2017,,"4,906",70,629,"1,660","2,547","22,888","6,269","12,692","3,927",62
,RENO,2016,"244,554",809,4,72,190,543,"3,820",599,"2,693",528,8
,,2017,,798,9,61,176,552,"3,528",666,"2,154",708,7
NEW HAMPSHIRE,MANCHESTER,2016,"110,353",368,1,40,104,223,"1,576",240,"1,265",71,16
,,2017,,347,1,44,83,219,"1,425",218,"1,111",96,12
NEW JERSEY,EDISON TOWNSHIP,2016,"102,679",49,0,3,16,30,528,71,421,36,1
,,2017,,59,0,3,28,28,608,97,454,57,4
,ELIZABETH,2016,"129,096",511,3,22,235,251,"1,976",394,"1,141",441,1
,,2017,,480,2,19,235,224,"2,030",308,"1,330",392,5
,LAKEWOOD TOWNSHIP,2016,"100,269",95,2,10,22,61,409,82,310,17,4
,,2017,,51,1,1,20,29,426,114,293,19,2
,NEWARK,2016,"281,450","1,154",49,44,570,491,"2,879",496,"1,410",973,21
,,2017,,"1,205",31,51,495,628,"3,020",570,"1,414","1,036",29
,PATERSON,2016,"147,265",547,7,28,263,249,"1,498",464,727,307,5
,,2017,,484,14,18,228,224,"1,750",550,828,372,8
,WOODBRIDGE TOWNSHIP,2016,"102,124",51,0,4,24,23,802,102,643,57,2
,,2017,,48,1,4,27,16,727,111,567,49,1
NEW MEXICO,LAS CRUCES8,2016,"102,349",55,2,7,19,89,"2,351",377,"1,848",126,1
,,2017,,62,6,12,36,51,"2,279",439,"1,703",137,3
NEW YORK,AMHERST TOWN,2016,"120,436",45,1,3,15,26,953,79,857,17,2
,,2017,,63,0,5,23,35,915,70,826,19,2
,BUFFALO,2016,"257,446","1,358",19,88,468,783,"4,803","1,184","3,227",392,108
,,2017,,"1,209",25,72,412,700,"4,435",987,"3,102",346,90
,NEW YORK,2016,"8,566,917","23,546",162,"1,184","7,366","14,834","59,928","5,809","51,171","2,948",851
,,2017,,"22,369",127,"1,126","6,607","14,509","57,559","5,298","49,712","2,549",970
,ROCHESTER,2016,"209,643",879,16,72,291,500,"3,583",677,"2,572",334,48
,,2017,,899,8,64,350,477,"3,740",617,"2,812",311,49
